"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkönkulutus Suomessa"
"2018-05-31 22:00:00","2018-05-31 23:00:00","2018-06-01 00:00:00","2018-06-01 01:00:00","7382.0"
"2018-05-31 23:00:00","2018-06-01 00:00:00","2018-06-01 01:00:00","2018-06-01 02:00:00","7176.0"
"2018-06-01 00:00:00","2018-06-01 01:00:00","2018-06-01 02:00:00","2018-06-01 03:00:00","7065.0"
"2018-06-01 01:00:00","2018-06-01 02:00:00","2018-06-01 03:00:00","2018-06-01 04:00:00","7007.0"
"2018-06-01 02:00:00","2018-06-01 03:00:00","2018-06-01 04:00:00","2018-06-01 05:00:00","7272.0"
"2018-06-01 03:00:00","2018-06-01 04:00:00","2018-06-01 05:00:00","2018-06-01 06:00:00","8008.0"
"2018-06-01 04:00:00","2018-06-01 05:00:00","2018-06-01 06:00:00","2018-06-01 07:00:00","8598.0"
"2018-06-01 05:00:00","2018-06-01 06:00:00","2018-06-01 07:00:00","2018-06-01 08:00:00","8900.0"
"2018-06-01 06:00:00","2018-06-01 07:00:00","2018-06-01 08:00:00","2018-06-01 09:00:00","9059.0"
"2018-06-01 07:00:00","2018-06-01 08:00:00","2018-06-01 09:00:00","2018-06-01 10:00:00","9065.0"
"2018-06-01 08:00:00","2018-06-01 09:00:00","2018-06-01 10:00:00","2018-06-01 11:00:00","9159.0"
"2018-06-01 09:00:00","2018-06-01 10:00:00","2018-06-01 11:00:00","2018-06-01 12:00:00","9062.0"
"2018-06-01 10:00:00","2018-06-01 11:00:00","2018-06-01 12:00:00","2018-06-01 13:00:00","8882.0"
"2018-06-01 11:00:00","2018-06-01 12:00:00","2018-06-01 13:00:00","2018-06-01 14:00:00","8837.0"
"2018-06-01 12:00:00","2018-06-01 13:00:00","2018-06-01 14:00:00","2018-06-01 15:00:00","8804.0"
"2018-06-01 13:00:00","2018-06-01 14:00:00","2018-06-01 15:00:00","2018-06-01 16:00:00","8686.0"
"2018-06-01 14:00:00","2018-06-01 15:00:00","2018-06-01 16:00:00","2018-06-01 17:00:00","8644.0"
"2018-06-01 15:00:00","2018-06-01 16:00:00","2018-06-01 17:00:00","2018-06-01 18:00:00","8581.0"
"2018-06-01 16:00:00","2018-06-01 17:00:00","2018-06-01 18:00:00","2018-06-01 19:00:00","8671.0"
"2018-06-01 17:00:00","2018-06-01 18:00:00","2018-06-01 19:00:00","2018-06-01 20:00:00","8637.0"
"2018-06-01 18:00:00","2018-06-01 19:00:00","2018-06-01 20:00:00","2018-06-01 21:00:00","8252.0"
"2018-06-01 19:00:00","2018-06-01 20:00:00","2018-06-01 21:00:00","2018-06-01 22:00:00","8259.0"
"2018-06-01 20:00:00","2018-06-01 21:00:00","2018-06-01 22:00:00","2018-06-01 23:00:00","8118.0"
"2018-06-01 21:00:00","2018-06-01 22:00:00","2018-06-01 23:00:00","2018-06-02 00:00:00","7686.0"
"2018-06-01 22:00:00","2018-06-01 23:00:00","2018-06-02 00:00:00","2018-06-02 01:00:00","7367.0"
"2018-06-01 23:00:00","2018-06-02 00:00:00","2018-06-02 01:00:00","2018-06-02 02:00:00","7161.0"
"2018-06-02 00:00:00","2018-06-02 01:00:00","2018-06-02 02:00:00","2018-06-02 03:00:00","7019.0"
"2018-06-02 01:00:00","2018-06-02 02:00:00","2018-06-02 03:00:00","2018-06-02 04:00:00","6921.0"
"2018-06-02 02:00:00","2018-06-02 03:00:00","2018-06-02 04:00:00","2018-06-02 05:00:00","6951.0"
"2018-06-02 03:00:00","2018-06-02 04:00:00","2018-06-02 05:00:00","2018-06-02 06:00:00","7243.0"
"2018-06-02 04:00:00","2018-06-02 05:00:00","2018-06-02 06:00:00","2018-06-02 07:00:00","7471.0"
"2018-06-02 05:00:00","2018-06-02 06:00:00","2018-06-02 07:00:00","2018-06-02 08:00:00","7692.0"
"2018-06-02 06:00:00","2018-06-02 07:00:00","2018-06-02 08:00:00","2018-06-02 09:00:00","7768.0"
"2018-06-02 07:00:00","2018-06-02 08:00:00","2018-06-02 09:00:00","2018-06-02 10:00:00","7960.0"
"2018-06-02 08:00:00","2018-06-02 09:00:00","2018-06-02 10:00:00","2018-06-02 11:00:00","7993.0"
"2018-06-02 09:00:00","2018-06-02 10:00:00","2018-06-02 11:00:00","2018-06-02 12:00:00","7960.0"
"2018-06-02 10:00:00","2018-06-02 11:00:00","2018-06-02 12:00:00","2018-06-02 13:00:00","7906.0"
"2018-06-02 11:00:00","2018-06-02 12:00:00","2018-06-02 13:00:00","2018-06-02 14:00:00","7841.0"
